
  'weight' | Mean weight on day of engorgement | ug
  'weight loss' | Percentage loss in body weight during larval pr... | percent
  'weight loss' | Percentage loss in body weight during larval mo... | percent
  'weight loss' | Percentage loss in body weight during nymphal p... | percent
  'weight loss' | Percentage loss in body weight during nymphal m... | percent
  'weight loss' | Percentage loss in body weight during female pr... | percent
  'Efficency' | Percent weight transfered from engorged female ... | percent
  'preoviposition period' | mean time required for an engorged female tick ... | days
  'hardening period' | mean time for a tick to become hardened | days
  'engorgement period' | mean time required for females to become engorged | days
  'body size' | mean weight of engorged tick | mg
  'survival time' | mean time for engorged nymph survival | days
  'survival rate' | percentage of unfed adults that survive | percent
  'percent moult' | percentage moulted engorged on calves | days
  'premolting period' | average pre-moulting period engorged on calves | days
  'survival time' | average number of days unfed nymphs survived | days
  'percent moult' | percentage moulted engorged on rabbits | percent
  'engorgement period' | average duration of engorgement on calves | days
  'engorgement period' | average duration of engorgement on rabbits | days
  'feeding time' | time required for larval ticks to reach engorge... | days
  'molting period' | time required for engorged larval ticks to molt | days
  'pre hatching period' | mean time until hatching | days
  'questing' | mean percent of ticks questing | percent
  'lipid content' | median proportion of lipid content of the tick-... | NA
  'Questing Height' | questing height -- Average (across 38 hours and... | mm
  'Distance Traveled' | Average distance covered per hour while questing | mm
  'Questing Time' | Mean proportion of time tick seen questing (leg... | percent
  'Questing Height' | questing height -- Average (across 43 hours and... | mm
  'Mortality Rate' | number that survived the 38 hours | count
  'Mortality Rate' | number that survived the 43 hours | count
  'Water loss' | Water loss of ticks exposed to dry air for 24 h... | mg/cm2
  'Weight loss' | Weight loss of ticks exposed to dry air for 24 ... | percent
  'Water loss' | Water loss of dead engorged ticks exposed to dr... | mg/cm2
  'Mortality Rate' | Percent mortality in engorged ticks before moul... | percent
  'Pre-Oviposition Period in engorged females' | Pre-Oviposition Period in engorged females | days-1
  'Development Rate (Larva)' | 1 / development time of Engorged Larva | days-1
  'Development Rate (Nymph)' | 1 / development time of Engorged Nymph | days-1
  'oviposition' | daily average number of eggs / female | eggs
  'Body Mass' | mean daily weight of larvae during their feedin... | mg
  'Development Rate' | percent of immature stages remaining x days aft... | percent
  'Development Rate' | Percent of emerging males who develop on day X ... | percent
  'Development Rate' | Percent of emerging females who develop on day ... | percent
