"ID","n_points","AIC_quad","BIC_quad","AIC_cubic","BIC_cubic","AIC_logistic","BIC_logistic","converged_logistic","N0_logistic","Nmax_logistic","rmax_logistic","AIC_gompertz","BIC_gompertz","converged_gompertz","N0_gompertz","Nmax_gompertz","rmax_gompertz","tlag_gompertz","best_AIC","best_BIC","Species","Temp","Medium","PopBio_units"
54,15,37.787354895938,40.6195557003468,32.7351433803637,36.2753943858747,22.5509674155076,25.3831682199164,TRUE,-4.84768870453053,-1.89657326032118,0.472162380736498,25.7752369684265,29.3154879739376,TRUE,-4.97623102156773,-1.89392524204826,0.440623198583995,0,"Logistic","Logistic","Acinetobacter.clacoaceticus.2",25,"TSB","OD_595"
55,15,21.4486593847421,24.2808601891509,14.3875559520035,17.9278069575145,-4.81161881488202,-1.97941801047318,TRUE,-3.98906797487374,-1.61769381829684,0.255540102720626,-1.67825180391189,1.86199920159916,TRUE,-4.05424370935424,-1.62514127525031,0.220269438692536,0,"Logistic","Logistic","Stenotrophomonas.maltophilia.1",25,"TSB","OD_595"
56,16,23.0218953659448,26.1122502549039,8.83594677040276,12.6988903816017,-19.5776883022126,-16.4873334132535,TRUE,-3.94067707990937,-0.715080939083223,0.193238216901057,-12.3146595176194,-8.45171590642049,TRUE,-4.05652470176366,-0.718986517175795,0.194267400320301,0,"Logistic","Logistic","Stenotrophomonas.maltophilia.2",25,"TSB","OD_595"
57,17,49.8910722440165,53.2239256202413,46.0600210777044,50.2260877979854,-18.0632037809083,-14.7303504046835,TRUE,-3.45722831283652,-0.0572781321397043,0.640323114726851,-35.2138478421079,-31.0477811218268,TRUE,-3.18252571522881,-0.0718345106996804,0.680302935150976,0.984974567710695,"Gompertz","Gompertz","Klebsiella.pneumonia",25,"TSB","OD_595"
58,16,44.3251263609217,47.4154812498808,36.8560489751295,40.7189925863284,3.63479830922332,6.72515319818244,TRUE,-4.52695290136511,-0.429357427015802,0.434632744343462,-1.35066805997477,2.51227555122414,TRUE,-3.98135168395492,-0.448331499120846,0.491671903706146,2.15070924857476,"Gompertz","Gompertz","Dickeya.zeae",25,"TSB","OD_595"
59,17,35.6658738503862,38.998727226611,37.3970577856435,41.5631245059246,31.2887656742245,34.6216190504494,TRUE,-6.53543868348252,-0.438808652385173,0.105983410032249,-27.8732152913644,-23.7071485710833,TRUE,-5.92956613335492,-0.540032938235513,0.319752602678333,22.2294711482886,"Gompertz","Gompertz","Pectobacterium.carotovorum.subsp..Carotovorum.Pcc2",25,"TSB","OD_595"
60,17,48.8999061416383,52.2327595178631,36.4383061821545,40.6043729024356,10.5396592308036,13.8725126070284,TRUE,-4.76918072498199,-0.650657992605912,0.372647960662547,0.514828133624931,4.68089485390601,TRUE,-4.35580136410209,-0.670192204720251,0.484514713323381,2.66655580503658,"Gompertz","Gompertz","Pantoea.agglomerans..RDA.R.",25,"TSB","OD_595"
61,16,43.3152290562757,46.4055839452348,34.8979119836233,38.7608555948222,-9.89266689666789,-6.80231200770877,TRUE,-4.09353340701661,-0.29638524693085,0.38153519210529,-27.756676444399,-23.8937328332001,TRUE,-3.88540992185212,-0.307100504559254,0.419201782377513,1.42356724389006,"Gompertz","Gompertz","Dickeya.zeae..RDA.R.",25,"TSB","OD_595"
62,15,26.1125158260437,28.9447166304525,19.6540941892739,23.1943451947849,-0.35721409974553,2.47498670466331,TRUE,-4.46178166621476,-2.23381913483641,0.322397797530297,3.4965263119619,7.03677731747295,TRUE,-4.54259003629383,-2.24633162070052,0.269771710740415,0,"Logistic","Logistic","Acinetobacter.clacoaceticus..RDA.R.",25,"TSB","OD_595"
63,13,24.8777731207923,27.1375705506384,15.1978589693278,18.0226057566355,-12.3731988912813,-10.1134014614351,TRUE,-4.87732258870879,-1.55212991277985,0.219063529894071,-5.30041864440296,-2.47567185709527,TRUE,-4.92686977730017,-1.54943915546608,0.206733165049928,0,"Logistic","Logistic","Stenotrophomonas.maltophilia..RDA.R.",25,"TSB","OD_595"
64,17,48.1989363631739,51.5317897393988,43.7266111110817,47.8926778313628,-27.1981628643859,-23.8653094881611,TRUE,-3.44677130930951,-0.1545204142228,0.595056493852874,-58.9481385961829,-54.7820718759019,TRUE,-3.29424763863661,-0.168657891867091,0.610273819029371,0.692784913697056,"Gompertz","Gompertz","Klebsiella.pneumonia..RDA.R.",25,"TSB","OD_595"
65,15,40.0483421889596,42.8805429933685,35.1286186768716,38.6688696823827,17.8299294849611,20.6621302893699,TRUE,-6.18548956818749,-1.59144626345126,0.365939786734469,18.2866523357113,21.8269033412224,TRUE,-6.36575154226508,-1.57698609189744,0.38346569725672,0,"Logistic","Logistic","Bacillus.pumilus..RDA.R.",25,"TSB","OD_595"
66,17,37.1787694448691,40.511622821094,28.2543391717974,32.4204058920785,6.73484265278843,10.0676960290133,TRUE,-4.43331814123833,-0.913341878529114,0.314460614570477,8.47382774064696,12.639894460928,TRUE,-4.57853315103195,-0.918014976854677,0.316722501386897,0,"Logistic","Logistic","Clavibacter.michiganensis..RDA.R.",25,"TSB","OD_595"
67,15,44.0265574754064,46.8587582798152,41.2332006919807,44.7734516974918,17.5422361585991,20.374436963008,TRUE,-5.42073691758912,-1.43812544248476,0.502457194143396,20.1512065778568,23.6914575833679,TRUE,-5.78916621720842,-1.46874741016371,0.586230513140914,0,"Logistic","Logistic","Chryseobacterium.balustinum",35,"TSB","OD_595"
68,17,52.8987587386569,56.2316121148818,49.1641868009597,53.3302535212408,-31.9248388913068,-28.5919855150819,TRUE,-3.73246339860306,-0.0737338381586878,0.724280622683286,-37.3832491934805,-33.2171824731995,TRUE,-3.69035578274192,-0.0680655404545971,0.750009721725795,0.392463333987934,"Gompertz","Gompertz","Enterobacter.sp.",35,"TSB","OD_595"
69,16,51.6653873013184,54.7557421902776,42.9112933612173,46.7742369724162,1.5899895947113,4.68034448367043,TRUE,-5.28132276344041,-0.618117413941906,0.523371340318993,5.4632774843629,9.32622109556181,TRUE,-5.49863676733478,-0.608900722830563,0.564086868750295,0,"Logistic","Logistic","Pantoea.agglomerans.1",35,"TSB","OD_595"
70,15,54.8211927524531,57.653393556862,47.2435867979296,50.7838378034406,17.1614625732873,19.9936633776961,TRUE,-5.70566322672053,-0.819443401086613,0.617273667702573,21.6713435442297,25.2115945497407,TRUE,-5.99760155650806,-0.806875706703646,0.691843757831326,0,"Logistic","Logistic","Pantoea.agglomerans.2",35,"TSB","OD_595"
